step,avg_new_infected,avg_total_infected
1,1.0,1.0
2,4.3,5.3
3,9.9,15.2
4,14.0,29.2
5,19.7,48.9
6,26.5,75.4
7,30.5,105.9
8,39.3,145.2
9,45.5,190.7
10,50.4,241.1
11,55.8,296.9
12,64.9,361.8
13,72.9,434.7
14,77.3,512.0
15,81.0,593.0
16,86.0,679.0
17,90.8,769.8
18,88.8,858.6
19,90.8,949.4
20,96.7,1046.1
21,97.3,1143.4
22,103.7,1247.1
23,101.3,1348.4
24,97.9,1446.3
25,104.8,1551.1
26,105.9,1657.0
27,110.8,1767.8
28,108.6,1876.4
29,113.1,1989.5
30,116.8,2106.3
31,121.4,2227.7
32,118.7,2346.4
33,121.3,2467.7
34,128.1,2595.8
35,129.3,2725.1
36,124.9,2850.0
37,126.1,2976.1
38,127.0,3103.1
39,128.8,3231.9
40,130.7,3362.6
41,121.7,3484.3
42,119.2,3603.5
43,116.1,3719.6
44,112.7,3832.3
45,111.0,3943.3
46,105.4,4048.7
47,103.6,4152.3
48,101.1,4253.4
49,100.7,4354.1
50,103.0,4457.1
51,102.7,4559.8
52,102.5,4662.3
53,97.5,4759.8
54,100.6,4860.4
55,97.4,4957.8
56,93.5,5051.3
57,92.2,5143.5
58,86.2,5229.7
59,81.7,5311.4
60,76.6,5388.0
61,70.3,5458.3
62,61.6,5519.9
63,55.8,5575.7
64,50.8,5626.5
65,50.5,5677.0
66,43.9,5720.9
67,38.2,5759.1
68,38.3,5797.4
69,32.5,5829.9
70,33.2,5863.1
71,29.4,5892.5
72,24.0,5916.5
73,17.4,5933.9
74,13.3,5947.2
75,10.2,5957.4
76,8.8,5966.2
77,8.1,5974.3
78,5.8,5980.1
79,5.6,5985.7
80,4.1,5989.8
81,1.9,5991.7
82,1.8,5993.5
83,2.2,5995.7
84,1.9,5997.6
85,1.1,5998.7
86,1.0,5999.7
87,0.3,6000.0
