Turn,Avg_New_Infections,Avg_Total_Infected
0,1.0,1.0
1,4.752,5.752
2,9.546,15.298
3,15.01,30.308
4,20.487,50.795
5,26.13,76.925
6,31.582,108.507
7,37.56,146.067
8,42.682,188.749
9,48.099,236.848
10,53.409,290.257
11,58.339,348.596
12,63.156,411.752
13,67.514,479.266
14,72.116,551.382
15,76.572,627.954
16,80.766,708.72
17,84.442,793.162
18,87.892,881.054
19,91.291,972.345
20,94.827,1067.172
21,97.553,1164.725
22,100.126,1264.851
23,102.517,1367.368
24,104.631,1471.999
25,106.76,1578.759
26,108.235,1686.994
27,110.168,1797.162
28,111.729,1908.891
29,113.61,2022.501
30,114.515,2137.016
31,115.658,2252.674
32,116.45,2369.124
33,116.859,2485.983
34,117.34,2603.323
35,118.072,2721.395
36,118.6,2839.995
37,118.187,2958.182
38,118.166,3076.348
39,117.258,3193.606
40,116.94,3310.546
41,115.516,3426.062
42,114.717,3540.779
43,113.979,3654.758
44,112.957,3767.715
45,111.178,3878.893
46,109.871,3988.764
47,108.049,4096.813
48,105.954,4202.767
49,103.848,4306.615
50,102.419,4409.034
51,100.26,4509.294
52,97.641,4606.935
53,94.643,4701.578
54,92.514,4794.092
55,89.748,4883.84
56,86.564,4970.404
57,83.301,5053.705
58,80.207,5133.912
59,76.909,5210.821
60,73.344,5284.165
61,69.947,5354.112
62,66.074,5420.186
63,62.794,5482.98
64,59.058,5542.038
65,55.376,5597.414
66,51.531,5648.945
67,47.182,5696.127
68,43.468,5739.595
69,39.661,5779.256
70,35.383,5814.639
71,31.242,5845.881
72,26.922,5872.803
73,22.988,5895.791
74,19.058,5914.849
75,15.568,5930.417
76,13.129,5943.546
77,10.694,5954.24
78,8.861,5963.101
79,7.421,5970.522
80,6.161,5976.683
81,4.876,5981.559
82,4.101,5985.66
83,3.326,5988.986
84,2.69,5991.676
85,2.134,5993.81
86,1.695,5995.505
87,1.272,5996.777
88,0.961,5997.738
89,0.704,5998.442
90,0.535,5998.977
91,0.357,5999.334
92,0.214,5999.548
93,0.145,5999.693
94,0.13,5999.823
95,0.087,5999.91
96,0.05,5999.96
97,0.023,5999.983
98,0.013,5999.996
99,0.003,5999.999
100,0.001,6000.0
