Turn,Avg_New_Infections,Avg_New_Recoveries,Avg_New_Deaths,Avg_Total_Infected,Avg_Total_Recoveries,Avg_New_Deaths
0,1.0,0.0,0.0,1.0,0.0,0.0
1,5.0,0.0,0.0,6.0,0.0,0.0
2,10.3,0.0,0.0,16.3,0.0,0.0
3,15.3,0.0,0.1,31.6,0.0,0.1
4,21.5,0.0,0.2,53.1,0.0,0.3
5,25.4,0.0,0.3,78.5,0.0,0.6
6,32.8,0.0,0.1,111.3,0.0,0.7
7,38.2,0.0,0.8,149.5,0.0,1.5
8,44.1,0.0,0.7,193.6,0.0,2.2
9,51.5,0.0,0.8,245.1,0.0,3.0
10,57.4,0.0,1.5,302.5,0.0,4.5
11,61.8,0.0,1.1,364.3,0.0,5.6
12,67.4,0.0,1.8,431.7,0.0,7.4
13,76.5,0.0,2.4,508.2,0.0,9.8
14,78.8,0.0,2.4,587.0,0.0,12.2
15,79.3,0.0,3.0,666.3,0.0,15.2
16,81.4,0.0,2.1,747.7,0.0,17.3
17,87.9,0.0,3.1,835.6,0.0,20.4
18,87.8,0.0,5.1,923.4,0.0,25.5
19,97.5,0.0,5.5,1020.9,0.0,31.0
20,98.2,0.8,6.0,1119.1,0.8,37.0
21,103.6,4.4,6.6,1222.7,5.2,43.6
22,106.7,9.3,6.3,1329.4,14.5,49.9
23,107.6,14.2,6.3,1437.0,28.7,56.2
24,105.5,20.0,8.6,1542.5,48.7,64.8
25,109.1,22.7,6.7,1651.6,71.4,71.5
26,110.6,29.6,6.7,1762.2,101.0,78.2
27,110.0,33.7,8.0,1872.2,134.7,86.2
28,114.5,40.1,8.8,1986.7,174.8,95.0
29,111.6,46.3,8.8,2098.3,221.1,103.8
30,119.4,51.9,10.7,2217.7,273.0,114.5
31,125.5,55.0,10.2,2343.2,328.0,124.7
32,123.6,61.2,10.0,2466.8,389.2,134.7
33,125.8,68.4,8.9,2592.6,457.6,143.6
34,128.8,71.8,8.9,2721.4,529.4,152.5
35,126.6,71.1,12.3,2848.0,600.5,164.8
36,125.8,72.5,9.9,2973.8,673.0,174.7
37,123.2,79.7,10.9,3097.0,752.7,185.6
38,117.9,78.3,10.1,3214.9,831.0,195.7
39,123.4,88.3,10.8,3338.3,919.3,206.5
40,118.7,89.2,12.0,3457.0,1008.5,218.5
41,120.0,94.0,12.2,3577.0,1102.5,230.7
42,115.8,97.4,11.8,3692.8,1199.9,242.5
43,106.8,96.8,10.7,3799.6,1296.7,253.2
